stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
20752,01AQ2,Arsenal,,50.376176,3.084944,0,10378,0
20754,01AR2,St Michel,,50.377329,3.087729,0,10379,0
21303,01AS4,Gayant Expo,,50.380472,3.094840,0,10658,0
20980,07AB2,Pont Vincourt,,50.391864,3.156913,0,10492,0
10493,07AC,Nouveau Monde,,50.390493,3.163108,1,,0
20982,07AC2,Nouveau Monde,,50.390347,3.163534,0,10493,0
20984,07AD2,Mairie - LALLAING,,50.390093,3.168987,0,10494,0
20986,07AE2,La Renaissance,,50.387570,3.173668,0,10495,0
20990,07AG2,Bois Duriez,,50.382029,3.179564,0,10497,0
21427,14AK2,Cité des Agneaux,,50.376343,3.177911,0,10725,0
20992,14AA2,Moucheron,,50.372744,3.179778,0,10498,0
20994,14AB2,Place du Sana,,50.371636,3.185700,0,10499,0
20996,14AC2,LEP,,50.369229,3.187353,0,10500,0
20998,14AD2,Mairie - MONTIGNY EN OSTREVENT,,50.364803,3.186222,0,10501,0
20999,14AE1,Gare - MONTIGNY EN OSTREVENT,,50.361711,3.188540,0,10502,0
21028,14AF2,Albi,,50.364854,3.195089,0,10516,0
21026,08AG2,Lucien Bourdon,,50.370886,3.202179,0,10515,0
21024,08AF2,Collège - PECQUENCOURT,,50.375472,3.206505,0,10514,0
21022,08AE2,Place - PECQUENCOURT,,50.377470,3.214656,0,10513,0
21020,08AD2,Blanc Mur,,50.379665,3.219361,0,10512,0
11058,50AY,Mal. Leclerc,,50.362682,3.278630,1,,0
22129,50AY1,Mal. Leclerc,,50.362641,3.278404,0,11058,0
10941,50AI,Collège Hugo,,50.362240,3.273593,1,,0
21962,50AI2,Collège Hugo,,50.362292,3.273460,0,10941,0
10982,50AV,Ecole Désiré Chevaillier,,50.358860,3.266710,1,,0
21964,50AV1,Ecole Désiré Chevaillier,,50.358783,3.266230,0,10982,0
21736,31AA3,Brasserie - BRUILLE LEZ MARCHIENNES,,50.358652,3.244242,0,10700,0
10877,31AC,Limonaderie,,50.361558,3.243863,1,,0
21734,31AC1,Limonaderie,,50.361719,3.243916,0,10877,0
21452,14AE3,Gare - MONTIGNY EN OSTREVENT,,50.360705,3.189337,0,10502,0
10563,40AA,Calvaire - LOFFRE,,50.356769,3.175301,1,,0
21120,40AA1,Calvaire - LOFFRE,,50.356792,3.175211,0,10563,0
10693,40AC,Place - LOFFRE,,50.355509,3.172084,1,,0
21370,40AC2,Place - LOFFRE,,50.355550,3.172085,0,10693,0
10692,40AB,Rue des Moines,,50.357718,3.165426,1,,0
21368,40AB2,Rue des Moines,,50.357741,3.165342,0,10692,0
11113,40AE,Passage à Niveau - LOFFRE,,50.359570,3.160632,1,,0
